 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             40              2        1000000     -1.7450863     0.91097832       1160.806      629.15979             12      12.509813
             40           2.05        1000000     -1.7068452     0.89283009      1320.1719      894.77184             12      13.106911
             40            2.1        1000000     -1.6618029     0.86849887      1533.5284      1510.1886             12      13.372512
             40           2.15        1000000     -1.6089634     0.83497063      1833.2919       2937.855             12       13.43933
             40            2.2        1000000     -1.5476538      0.7878026      2186.9034      6337.3701             12      13.507332
             40          2.225        1000000     -1.5094454     0.74674777      2539.0842       12854.65             12      13.586316
             40           2.25        1000000     -1.4661481      0.6911216      2916.2751      23372.809             12      13.686935
             40          2.275        1000000      -1.418835     0.61975331      3164.7286       35107.42             12      13.853473
             40            2.3        1000000     -1.3688654     0.53234907      3167.7133      45573.799             12      13.780086
             40          2.325        1000000     -1.3188439     0.43527819      2908.6765      48848.603             12      13.716665
             40           2.35        1000000     -1.2783725     0.37122357      2577.7619      44285.632             12      13.780731
             40          2.375        1000000     -1.2391914     0.29845933      2214.0378      37507.143             12      13.864403
             40            2.4        1000000     -1.2080907     0.25736154      1931.2818      30134.765             12      13.987262
             40           2.45        1000000     -1.1527517     0.19615625      1596.0099      19948.905             12       13.95828
             40            2.5        1000000     -1.1061973      0.1606865      1384.6745      13906.942             12      13.942234
             40           2.55        1000000     -1.0655026     0.13651982      1238.0808      10149.781             12      14.004692
             40            2.6        1000000     -1.0279632      0.1198914      1127.1337      7702.6266             12      14.364961
             60              2        1000000     -1.7456616     0.91136996      2552.1655      1362.5546             12      32.789342
             60           2.05        1000000     -1.7069716      0.8928632      2956.3036      2064.7504             12      33.143988
             60            2.1        1000000     -1.6619544     0.86861002      3426.7489      3399.1099             12      37.321814
             60           2.15        1000000     -1.6096424     0.83554331      4063.8542      6553.2041             12      33.868551
             60            2.2        1000000      -1.546504     0.78491219      5031.7845      16064.222             12      32.394421
             60          2.225        1000000     -1.5085445     0.74538712       5769.385       32414.82             12      32.665641
             60           2.25        1000000     -1.4649144     0.68242095      6846.2985      81357.292             12      32.241005
             60          2.275        1000000     -1.4118447     0.57458051      7980.2741      181215.63             12      33.842919
             60            2.3        1000000     -1.3573918     0.45033898      7563.9105      220075.74             12      32.476471
             60          2.325        1000000     -1.3083152     0.33658749      6305.2195      197118.27             12      32.404007
             60           2.35        1000000     -1.2682348     0.25391958      5212.4895      150211.89             12      32.251452
             60          2.375        1000000     -1.2337873     0.20360734      4541.2035      105385.71             12      37.657644
             60            2.4        1000000     -1.2041606     0.16963536      4081.7608      79037.056             12      36.501857
             60           2.45        1000000     -1.1517568     0.12984412      3507.1318      48859.789             12       35.44532
             60            2.5        1000000     -1.1063346     0.10598009      3092.5563      32299.016             12      32.786776
             60           2.55        1000000     -1.0651787    0.089862161      2770.9329       23308.24             12      32.317016
             60            2.6        1000000     -1.0283305    0.079089042      2538.0753      17592.178             12      32.443454
             80              2        1000000     -1.7441522     0.90052523      5709.4504      158741.01             12      57.578282
             80           2.05        1000000     -1.7067331     0.89271654      5191.4796      3676.5035             12      57.234525
             80            2.1        1000000     -1.6620919     0.86886132      6031.2306       5847.156             12      57.529966
             80           2.15        1000000     -1.6095092     0.83540836      7261.5551      12147.098             12      58.445901
             80            2.2        1000000     -1.5468143     0.78521676      8910.3396      30911.295             12      57.418253
             80          2.225        1000000     -1.5087697     0.74445914      10461.052      75854.699             12      59.896937
             80           2.25        1000000     -1.4620879     0.66891597      12903.311      240758.92             12      58.591221
             80          2.275        1000000     -1.4105219     0.56357423       14166.83      434143.78             12      58.193201
             80            2.3        1000000     -1.3525391       0.395588      13502.225      626890.73             12       58.84555
             80          2.325        1000000      -1.302393     0.25270654      10636.844      462904.79             12       64.02275
             80           2.35        1000000      -1.265764     0.19167563      8990.6324      308515.42             12      57.977768
             80          2.375        1000000     -1.2333014      0.1506632      7748.6545      209353.24             12      59.855743
             80            2.4        1000000     -1.2042466     0.12502793       7073.673      142920.55             12      60.787876
             80           2.45        1000000     -1.1516664    0.096523306      6183.3542      86097.485             12      59.692324
             80            2.5        1000000     -1.1058815    0.079113768      5488.5169      57957.985             12      60.158647
             80           2.55        1000000     -1.0649484     0.06791248      4919.7882      42216.514             12      59.793912
             80            2.6        1000000     -1.0281541    0.059881908       4470.773      31902.806             12      59.782853
            100           2.05        1000000      -1.705709     0.88373496      9721.2352       279317.5             12      91.343436
            100            2.1        1000000     -1.6619765     0.86835875      9417.4862      15276.555             12      91.418373
            100           2.15        1000000      -1.609181     0.83156897      11944.792      154594.02             12      100.93263
            100            2.2        1000000      -1.546415     0.78488358      13941.497      47497.549             12        94.5994
            100          2.225        1000000     -1.5080338     0.74112969      16481.104      158925.09             12      92.703499
            100           2.25        1000000     -1.4632035     0.67422669       19964.62      330343.47             12       94.59106
            100          2.275        1000000     -1.4051903     0.52016412      24559.006      1228348.6             12      93.090933
